,Product_name_Flipkart,Flipkart_price,Product_name_Amazon,Amazon_price
0,SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NP340XLA-KA1IN Thin and Light Laptop,"32,990","SAMSUNG GALAXY M32 PRIME EDITION (LIGHT BLUE, 6GB RAM, 128GB)","34,990."
1,HP Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Notebook,"22,490",No similar product,0
2,DELL Vostro Core i3 11th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3400 Thin and Light Laptop,"34,990","DELL VOSTRO 3400 LAPTOP, INTEL I5-1135G7, 8GB DDR4, 512GB SSD, NVIDIA MX330 2GB GDDR5, WIN 11 + OFFICE H&S 2021, 14.0"" (35.56 CMS) FHD WVA AG, DUNE COLOR (D552304WIN9DE, 1.59KGS)","56,700"
3,Lenovo IdeaPad Core i3 10th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15IIL05 Thin and Light Laptop,"31,490","LENOVO IDEAPAD GAMING 3 AMD RYZEN 5 5600H 15.6"" (39.62CM) FHD IPS GAMING LAPTOP (8GB/512GB SSD/4GB NVIDIA GTX 1650/120HZ/WIN 11/BACKLIT KEYBOARD/3MONTHS GAME PASS/SHADOW BLACK/2.25KG), 82K201UEIN","80,990"
4,ASUS (2022) Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100CKA-GJ0722W Laptop,"24,990",No similar product,0
5,ASUS VivoBook 15 (2022) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop,"34,990","ASUS VIVOBOOK 15, 15.6-INCH (39.62 CMS) FHD, AMD RYZEN 5 3500U, THIN AND LIGHT LAPTOP (8GB/512GB SSD/INTEGRATED GRAPHICS/WINDOWS 11/OFFICE 2021/SILVER/1.8 KG), M515DA-BQ512WS, TRANSPARENT SILVER","72,990"
6,ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and Light Laptop,"26,990","ASUS VIVOBOOK 15, 15.6-INCH (39.62 CMS) FHD, AMD RYZEN 5 3500U, THIN AND LIGHT LAPTOP (8GB/512GB SSD/INTEGRATED GRAPHICS/WINDOWS 11/OFFICE 2021/SILVER/1.8 KG), M515DA-BQ512WS, TRANSPARENT SILVER","40,528"
7,Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light Laptop,"22,990","INFINIX INBOOK INTEL X1 CORE I5 10TH GEN - (8 GB/512 GB SSD/WINDOWS 11 HOME) XL11 THIN AND LIGHT LAPTOP (14 INCHES, AURORA GREEN, 1.48 KG)","27,900"
8,Lenovo ThinkPad E15 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) E15 Laptop,"44,700","LENOVO THINKPAD E14 AMD RYZEN 3 5300U 14"" (35.56 CM) FHD THIN AND LIGHT LAPTOP (8GB RAM/512GB SSD/WINDOWS 11/AMD RADEON GRAPHICS/FPR/BLACK/1.69 KG), 20Y7S07500","44,715"
9,Lenovo Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) V15 ITL G2 Thin and Light Laptop,"38,990",No similar product,0
10,acer Extensa 15 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 11 Home) EX215-54/ EX215-54-39DE Thin and Light Laptop,"30,990",ACER EXTENSA LAPTOP INTEL PENTIUM QUAD CORE (4 GB/256GB NVME SSD/WINDOWS 11 HOME/BLACK) EX215-31 WITH 39.6 CM (15.6 INCH) FULL HD DISPLAY,"27,990"
11,acer Aspire 3 Dual Core 3020e - (4 GB/256 GB SSD/Windows 11 Home) A314-22 Laptop,"24,990","ACER ASPIRE 5 INTEL CORE I5 11TH GEN THIN & LIGHT LAPTOP- (8 GB/512 GB SSD/WINDOWS 11 HOME/INTEL IRIS XE GRAPHICS/PURE SILVER/1.45 KG/MS OFFICE),14-INCH (35.56 CMS) FULL HD IPS DISPLAY ,A514-54","57,021"
12,acer Aspire 3 Ryzen 3 Dual Core R33250U - (4 GB/512 GB SSD/Windows 11 Home) A315-23 Notebook,"29,990","ACER ASPIRE 5 INTEL CORE I5 11TH GEN THIN & LIGHT LAPTOP- (8 GB/512 GB SSD/WINDOWS 11 HOME/INTEL IRIS XE GRAPHICS/PURE SILVER/1.45 KG/MS OFFICE),14-INCH (35.56 CMS) FULL HD IPS DISPLAY ,A514-54","44,990"
13,ASUS Vivobook 14 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X409FA-EK617T Thin and Light Laptop,"32,368","ASUS VIVOBOOK 15, 15.6-INCH (39.62 CMS) FHD, AMD RYZEN 5 3500U, THIN AND LIGHT LAPTOP (8GB/512GB SSD/INTEGRATED GRAPHICS/WINDOWS 11/OFFICE 2021/SILVER/1.8 KG), M515DA-BQ512WS, TRANSPARENT SILVER","72,990"
14,Lenovo Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) V15 -ADA Laptop,"30,990",No similar product,0
15,Lenovo IdeaPad 3 CB Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14IGL05 Thin and Light Laptop,"39,990","LENOVO IDEAPAD GAMING 3 AMD RYZEN 5 5600H 15.6"" (39.62CM) FHD IPS GAMING LAPTOP (8GB/512GB SSD/4GB NVIDIA GTX 1650/120HZ/WIN 11/BACKLIT KEYBOARD/3MONTHS GAME PASS/SHADOW BLACK/2.25KG), 82K201UEIN","80,990"
16,ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-A20303 Chromebook,"25,990","ASUS CHROMEBOOK FLIP INTEL CELERON DUAL CORE - (11.6 INCHES, 4 GB/64 GB EMMC STORAGE/CHROME OS) C214MA-BU0452 2 IN 1 LAPTOP (DARK GREY, 1.20 KG)","19,990"
17,DELL Vostro Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3401 Thin and Light Laptop,"42,278","DELL VOSTRO 3400 LAPTOP, INTEL I5-1135G7, 8GB DDR4, 512GB SSD, NVIDIA MX330 2GB GDDR5, WIN 11 + OFFICE H&S 2021, 14.0"" (35.56 CMS) FHD WVA AG, DUNE COLOR (D552304WIN9DE, 1.59KGS)","56,700"
18,ASUS EeeBook 12 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) E210MA-GJ011T Thin and Light Laptop,"20,490","ASUS EEEBOOK 12 CELERON DUAL INTEL CORE - (4 GB/64 GB EMMC STORAGE/WINDOWS 10 HOME) E210MA-GJ012T THIN AND LIGHT LAPTOP (11.6 INCHES, PEACOCK BLUE, 1.05 KG)","18,150"
19,DELL Vostro Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3401 Thin and Light Laptop,"36,057","DELL VOSTRO 3400 LAPTOP, INTEL I5-1135G7, 8GB DDR4, 512GB SSD, NVIDIA MX330 2GB GDDR5, WIN 11 + OFFICE H&S 2021, 14.0"" (35.56 CMS) FHD WVA AG, DUNE COLOR (D552304WIN9DE, 1.59KGS)","56,700"
20,Lenovo IdeaPad 3 Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Thin and Light Laptop,"27,990","LENOVO IDEAPAD GAMING 3 AMD RYZEN 5 5600H 15.6"" (39.62CM) FHD IPS GAMING LAPTOP (8GB/512GB SSD/4GB NVIDIA GTX 1650/120HZ/WIN 11/BACKLIT KEYBOARD/3MONTHS GAME PASS/SHADOW BLACK/2.25KG), 82K201UEIN","80,990"
21,ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-EC0521 Chromebook,"24,990","ASUS CHROMEBOOK FLIP INTEL CELERON DUAL CORE - (11.6 INCHES, 4 GB/64 GB EMMC STORAGE/CHROME OS) C214MA-BU0452 2 IN 1 LAPTOP (DARK GREY, 1.20 KG)","19,950"
22,ASUS VivoBook 15 (2022) Core i3 10th Gen - (4 GB/512 GB SSD/Windows 11 Home) X515JA-EJ372WS Thin and Light Laptop,"34,990","ASUS VIVOBOOK 15, 15.6-INCH (39.62 CMS) FHD, AMD RYZEN 5 3500U, THIN AND LIGHT LAPTOP (8GB/512GB SSD/INTEGRATED GRAPHICS/WINDOWS 11/OFFICE 2021/SILVER/1.8 KG), M515DA-BQ512WS, TRANSPARENT SILVER","40,528"
23,DELL Vostro Core i3 11th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10) Vostro 3400 Thin and Light Laptop,"40,990","DELL VOSTRO 3400 LAPTOP, INTEL I5-1135G7, 8GB DDR4, 512GB SSD, NVIDIA MX330 2GB GDDR5, WIN 11 + OFFICE H&S 2021, 14.0"" (35.56 CMS) FHD WVA AG, DUNE COLOR (D552304WIN9DE, 1.59KGS)","56,700"
24,ASUS (2022) Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100FKA-BP1104W Laptop,"30,490",No similar product,0
25,ASUS Pentium Quad Core 10th Gen - (4 GB/128 GB SSD/128 GB EMMC Storage/Windows 11 Home) T3300KA-LQ121WS 2 in 1 Laptop,"45,999","ASUS PENTIUM QUAD INTEL CORE - (4 GB/1 TB HDD/WINDOWS 10 HOME) X543MA-DM101T LAPTOP (15.6 INCHES, TRANSPARENT SILVER, 1.90 KG)","28,020"
26,DELL Vostro 3405 Athlon Dual Core 3050 - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3405 Thin and Light Laptop,"30,990","DELL VOSTRO 3400 LAPTOP, INTEL I5-1135G7, 8GB DDR4, 512GB SSD, NVIDIA MX330 2GB GDDR5, WIN 11 + OFFICE H&S 2021, 14.0"" (35.56 CMS) FHD WVA AG, DUNE COLOR (D552304WIN9DE, 1.59KGS)","56,700"
27,ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-BR0300| C523NA-BR0476 Chromebook,"22,490","ASUS CHROMEBOOK FLIP INTEL CELERON DUAL CORE - (11.6 INCHES, 4 GB/64 GB EMMC STORAGE/CHROME OS) C214MA-BU0452 2 IN 1 LAPTOP (DARK GREY, 1.20 KG)","19,950"
